year,species,lc.doy,lf.doy,sd.lc.doy,sd.lf.doy
2002,FRAM,281,292,2.78397782274567,0.232289467061299
2003,FRAM,277,285,1.90217086244886,1.02438413008039
2004,FRAM,274,281,3.96089293634166,4.67115601172391
2005,FRAM,278,283,3.03428647843511,2.47881357784202
2006,FRAM,266,271,2.13018076164613,3.43323827679581
2007,FRAM,271,282,0.615501706832776,2.74355780316472
2008,FRAM,273,285,0.593767306179233,4.92717869720514
2009,FRAM,272,283,0.480694503574034,1.64365686787463
2010,FRAM,268,279,3.53220619341427,2.89039707835166
2011,FRAM,267,276,0.697888075618503,1.47231297640847
2012,FRAM,271,280,6.8977253365192,7.08679664620316
2013,FRAM,263,270,1.03330619832183,3.20212336261174
2014,FRAM,267,278,3.0476381035453,4.85466085478319
2015,FRAM,279,286,4.70643362659256,24.6173015335353
2016,FRAM,278,290,10.61708186771,14.9856291233531
2017,FRAM,270,282,10.7313222228164,6.33582349991031
2018,FRAM,275,284,3.62538817574968,2.12961272180884
2019,FRAM,271,283,5.98488120844812,1.95351798978919
2020,FRAM,273,283,12.4231119290797,25.7111892170954
2021,FRAM,270,283,4.40412257300719,9.52716271630358
2022,FRAM,273,285,2.3946221465419,8.7120345261287
2023,FRAM,274,289,2.57713342667796,2.05276393031253
1991,HAVI,275,286,1.54078780379103,2.43389455933885
1992,HAVI,273,285,2.86050381182075,3.20063396194355
1993,HAVI,276,288,14.8139752778702,NA
1994,HAVI,271,285,1.9288284585725,5.14719671733828
1995,HAVI,274,285,5.60829450109262,6.78210763762935
1996,HAVI,280,288,2.58658022862341,5.23057107571238
1997,HAVI,278,289,3.94007493217345,5.23727198340105
1998,HAVI,273,288,2.17937319065742,6.4496848883501
1999,HAVI,279,289,7.52961428529347,10.7244998034727
2000,HAVI,278,290,6.06219081693708,4.01362435179249
2001,HAVI,281,289,4.9997566253632,11.0345829690056
1991,ILVE,294,300,2.57561357656522,0.578023722009629
1992,ILVE,NA,303,5.77607674581041,2.91575761535699
1993,ILVE,291,298,6.04026077196437,8.6786860049874
1994,ILVE,296,304,3.41297428798015,2.46342353649164
1995,ILVE,293,302,2.22881941384758,2.56062601693259
1996,ILVE,296,303,3.28020153475776,5.65521259199009
1997,ILVE,302,309,2.83276046843765,5.72189282389852
1998,ILVE,296,308,4.78645471662984,3.41256798147221
1999,ILVE,295,304,1.94927569992997,5.14188879229856
2000,ILVE,297,305,11.9282621934567,15.0007060741228
2001,ILVE,297,307,15.1241244135552,10.3190692127043
1991,KAAN,286,296,6.04295156220297,10.6043786243619
1992,KAAN,NA,290,1.52764579995393,6.89198735713508
1993,KAAN,286,291,15.0040955516473,17.6424786223222
1994,KAAN,277,291,5.40670085647587,7.60977164316511
